"Name","birth_year","death_year","religion_1_quaker"
Robert Fischer,NA,1911,NA
Edward Gardiner Fishbourne,NA,NA,NA
Anthony Lax Fisher,NA,NA,NA
Morton Coates Fisher,NA,NA,NA
Robert Fitzroy,1805,1865,NA
F H Fitzwilliam,NA,NA,NA
William S Fitzwilliam,NA,NA,NA
George Fleming,1833,1901,NA
James William Fleming,NA,NA,NA
John B Fletcher,NA,NA,NA
Joseph Fletcher,NA,1852,NA
Alphonse de Fleuriot de Langle,1809,1881,NA
Walter Flight,1841,1885,NA
John Wickham Flower,1807,1873,NA
John Folhurst,NA,NA,NA
George Folsom,1802,1869,NA
David Forbes,1828,1876,NA
Duncan W Forbes,NA,NA,NA
W Forester,NA,NA,NA
Joseph James Forrester,NA,NA,NA
Richard Fort,1822,1868,NA
G A Forteath,1819,1862,NA
Balthazar Walter Foster,1840,1913,NA
M Foster,1836,1907,NA
Robert Nicholas Fowler,1828,1891,1
William Fowler,NA,NA,1
Charles Henry Fox,NA,NA,1
William Henry Francklyne,NA,NA,NA
Augustus Wollaston Franks,1826,1897,NA
Alexander Adolphus Fraser,NA,NA,NA
Alexander Colvin Fraser,NA,NA,NA
Thomas Fraser,1808,1891,NA
Henry Stanhope Freeman,1831,1865,NA
x Freme,NA,NA,NA
Sydney French,NA,NA,NA
H  Albert Freuler,NA,NA,NA
William Freund,1806,1894,NA
John Friend,NA,NA,NA
Anton Fritsch,1832,1913,NA
Danby Palmer Fry,1818,1903,NA
Stephen D Fuller,1839,1912,NA
A  de Fullner,NA,NA,NA
Michael Cudmore Furnell,1829,1888,NA
Albert Fytche,1820,1892,NA
Paolo Gaddi,1806,NA,NA
Richard M Gage,NA,NA,NA
Griffin Curtis Galt,NA,NA,NA
Douglas Galton,1822,1899,NA
Francis Galton,1822,1911,NA
Antonio Garbiglietti,1807,1887,NA
Felix Garden,NA,NA,NA
John Gardiner,1814,1868,NA
C T Gardner,NA,NA,NA
Charles Henry Gardner,NA,1872,NA
E V Gardner,NA,NA,NA
Peter Gardner,NA,1872,NA
William H Garrett,NA,NA,NA
Thomas B Gascoyne,NA,NA,NA
John Peter Gassiot,1797,1877,NA
Charles Henry Gatty,1836,1903,NA
J Gaus,NA,NA,NA
x Gawler,1795,1869,NA
David Gay,1826,NA,NA
Alex  Nidda Genthe,NA,1870,NA
x Georgei,NA,NA,NA
Paul Gervais,1816,1879,NA
George Duncan Gibb,1821,1876,NA
Craig Gibson,1813,1874,NA
George Stacey Gibson,1818,1883,1
Enrico Hillyer Giglioli,1845,1909,NA
Joseph Gill,NA,NA,NA
William Gillespie,NA,1875,NA
Andrew Gilmour,NA,1910,NA
x Giraldes,1808,1875,NA
James William Glass,1825,1857,NA
x Glasse,NA,NA,NA
Spyridon Glaucopides,NA,NA,NA
Albert Gledstanes,NA,NA,NA
J  S  Stuart Glennie,1841,1910,NA
John Hawley Glover,1829,1885,NA
George Grenfell Glyn,1824,1887,NA
Edwin Goadby,1837,NA,NA
x Gobineau,1816,1882,NA
William Goddard,1839,1907,NA
Thomas Godrich,NA,NA,NA
Augustus Goldsmid,1818,1874,NA
Isaac Lyon Goldsmid,1778,1859,NA
Thomas Gole,NA,NA,NA
Thomas Gooch,NA,NA,NA
William Gooch,NA,NA,NA
Charles Rowland Goodman,NA,NA,NA
Arthur Gordon Gordon,NA,NA,NA
Richard Thomas Gore,1799,1881,NA
A L  (pere) Gosse,1791,1873,NA
Hippolyte-Jean Gosse,1834,1901,NA
John Gould,1804,1881,NA
Charles Edward Gover,1835,1872,NA
James Gowans,1821,1890,NA
D G Goyder,1796,1878,NA
x Granville,1833,1900,NA
Pierre Gratiolet,1815,1865,NA
John Grattan,NA,NA,NA
Ryves William Graves,NA,1882,NA
John Grayling,NA,NA,NA
Frederick Green,NA,NA,NA
Frederick King Green,1842,1915,NA
George Courthope Green,NA,1875,NA
Sidney Faithhorn Green,1841,1916,NA
George Bellas Greenough,1778,1855,NA
Henry Greenway,NA,NA,NA
William Greenwell,1820,1918,NA
Edward Greey,1835,1888,NA
William Rathbone Greg,1809,1881,NA
Alexander Gregg,1819,1893,NA
Walter Gregor,1825,1897,NA
J R Gregory,NA,NA,NA
Charles Edward Grey,1785,1865,NA
George Grey,1812,1898,NA
Henry Rowland Ellison Grey,1834,1909,NA
x Gribble,1807,1878,NA
H G Gridley,1820,NA,NA
Frederick Griffin,1813,1885,NA
Lepel Griffin,1838,1908,NA
John Griffith,NA,NA,NA
Richard Trygarn Griffith,1788,1866,NA
Francis Griffiths,NA,NA,NA
J C Griffiths,NA,NA,NA
